CALCULO IMPUESTO SOBRE LA RENTA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS, $-   , $-   ,60917.24,6000.00,97535.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
OTROS INGRESOS, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS, $-   , $-   ,60917.24,6000.00,97535.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
DEDUCCIONES, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS GRAV, $-   , $-   ,60917.24,6000.00,97535.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ISR,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,*Los % están sujetos a cambios en años posteriores
ISR CAUSADO, $-   , $-   ,914.00,60.00,1951.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES DE ISR, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
ISR A CARGO, $-   , $-   ,914.00,60.00,1951.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,,,,,,,,,,,,,,
PAGO, $-   , $-   ,914.00,60.00,1951.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,,,,,,,,,,,,,,
Pago actualizado, $-   , $-   ,914.00,60.00,1951.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
CALCULO IMPUESTO AL VALOR AGREGADO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS 16%, $-   , $-   ,60917.24,6000.00,97535.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
"IVA por devoluciones, descuentos y bonificaciones en gastos", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS, $-   , $-   ,60917.24,6000.00,97535.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,
IVA TRASLADADO COBRADO, $-   , $-   ,9746.76,960.00,15605.60, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
INGRESOS PAGADOS 0%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS EXCENTOS, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Otros ingresos por NC, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS 16%, $-   , $-   , $-   , $-   ,11946.20, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,*Los % están sujetos a cambios en años posteriores
IVA ACREDITABLE PAGADO, $-   , $-   , $-   , $-   ,1911.39, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
IVA ACREDITABLE/TRASLADADO, $-   , $-   ,9746.76,960.00,13694.21, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
IVA A PAGAR O A FAVOR, $-   , $-   ,9747.00,960.00,13694.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,0.00,,,,,,,,,,,,,
PAGO, $-   , $-   ,9747.00,960.00,13694.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,,,,,,,,,,,,,,
Pago actualizado, $-   , $-   ,9747.00,960.00,13694.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PAGO ISR + IVA, $-   , $-   ,10661.00,,,, $-   , $-   , $-   , $-   , $-   , $-   ,,
´+ RETENCIONES, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
PAGO ISR + IVA, $-   , $-   ,10661.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
