CALCULO IMPUESTO SOBRE LA RENTA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS,152951.00,21176.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
OTROS INGRESOS, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS,152951.00,21176.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
DEDUCCIONES, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS GRAV,152951.00,21176.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ISR,0.02,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,*Los % están sujetos a cambios en años posteriores
ISR CAUSADO,3059.00,212.00,1958.00,1796.00,6836.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES DE ISR,1375.00,39.70,191.25,247.50,307.50, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
ISR A CARGO,1684.00,172.00,1767.00,1549.00,6529.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,,,-1767.00,-299.00,,,,,,,,,,
PAGO,1684.00,172.00, $-   ,1250.00,6529.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,25.00,,,,,,,,,,,,,
Pago actualizado,1709.00,172.00, $-   ,1250.00,6529.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
CALCULO IMPUESTO AL VALOR AGREGADO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS 16%,152951.00,21176.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
IVA por devoluciones  descuentos y bonificaciones en gastos,54369.00,699.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS,207320.00,21875.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,
IVA TRASLADADO COBRADO,33171.20,3500.00,15664.55,14368.00,43750.40, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
INGRESOS PAGADOS 0%,2031.49, $-   ,636.50, $-   ,2553.50, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS EXCENTOS, $-   ,8000.00,8000.00,8000.00,16000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Otros ingresos por NC,54369.00,699.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS 16%,23964.18,21776.85,44080.15,56154.12,165725.54, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,*Los % están sujetos a cambios en años posteriores
IVA ACREDITABLE PAGADO,12533.31,3596.14,7052.82,8984.66,26516.09, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
IVA ACREDITABLE/TRASLADADO,20637.89,-96.14,8611.73,5383.34,17234.31, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES,11733.37,338.77,1632.01,2112.01,2624.01, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
IVA A PAGAR O A FAVOR,8905.00,-435.00,6980.00,3271.00,14610.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,0.00,,,,,,,,,,,,,
PAGO,8905.00,-435.00,6980.00,3271.00,14610.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,131.00,,,,,,,,,,,,,
Pago actualizado,9036.00,-435.00,6980.00,3271.00,14610.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PAGO ISR + IVA,10745.00,172.00,6980.00,,21139.00,, $-   , $-   , $-   , $-   , $-   , $-   ,,
´+ RETENCIONES,13108.37,378.47,1823.26,2359.51,2931.51, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
PAGO ISR + IVA,23853.37,550.47,8803.26,2359.51,24070.51, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
