BALANCE GENERAL,,,,ESTADO RESULTADOS,,,,FLUJO DE EFECTIVO,,,,,,,,,,,,,,,,,ESTADO DE CAMBIOS EN EL CAPITAL CONTABLE,,,
RAZÓN SOCIAL,Rey Salvador,,,RAZÓN SOCIAL,Rey Salvador,,,RAZÓN SOCIAL,Rey Salvador,,,,,,,,,,,,,,,,RAZÓN SOCIAL,Rey Salvador,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AÑO,2024,,,A la fecha,23/06/2024,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
,,,,,,,,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,TOTAL ANUAL,,,,Capital social,Resultados acumulados,Total Patrimonio
 ACTIVOS,,,, INGRESOS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, SALDO DE CAJA,269871.23,239572.51,269074.00,260398.18,260398.18,260398.18,260398.18,260398.18,260398.18,260398.18,260398.18,260398.18,,-610039.79,,,,108176.20, -   ,108176.20
Activos corrientes,,,,Ventas brutas,1021840.45,,,,,,,,,,,,,,,,,,,,,,,
Caja y bancos,5115.98,,,Devoluciones y rebajas, -   ,,,,,,,,,,,,,,,,,,,,Saldo del periodo inmediato anterior,,,0.00
Inversiones/ahorro,255282.20,,,Ventas netas,1021840.45,,,Saldo inicial de caja,189141.85,,,,,,,,,,,,,,,,Cambios en politicas contables:,,,0.00
Cuentas por cobrar,438104.92,,,,   ,,,,,,,,,,,,,,,,,,,,Correcciones de errores,,,0.00
IVA Acreditable, -   ,No se agrega por la diferencia en gastos (no hay manera de saber el subtotal),, COSTO DE VENTAS,,,,FLUJOS DE EFECTIVO OPERATIVOS,,,,,,,,,,,,,,,,,Cambios del año en el patrimonio:,,,0.00
Anticipos, -   ,,,,,,,                INGRESOS,,,,,,,,,,,,,,,,,"Aumento (disminución) de capital social ""desde reservas""",,,0.00
TOTAL ACTIVOS CORRIENTES,698503.10,,,Inventario inicial, -   ,,,Venta a público en general, -   , -   ,2500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,2500.00,,,Aportes para futuras capitalizaciones,,,0.00
,,,,Compras, -   ,,,Venta con CFDI,164314.46,24185.69,109244.74, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,297744.89,,,Prima por emisión primaria de acciones,,,0.00
Activos no corrientes,,,,Costo de los fletes entrantes, -   ,,,Ingresos no acumulables,79306.00, -   ,2203.03,340.00, -   , -   , -   , -   , -   , -   , -   , -   ,,81849.03,,,Dividendos,,,0.00
