CALCULO IMPUESTO SOBRE LA RENTA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS, $-   , $-   ,12000.00,4500.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
OTROS INGRESOS, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS, $-   , $-   ,12000.00,4500.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
DEDUCCIONES, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS GRAV, $-   , $-   ,12000.00,4500.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ISR,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,*Los % están sujetos a cambios en años posteriores
ISR CAUSADO, $-   , $-   ,120.00,45.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES DE ISR, $-   , $-   ,150.00,56.25, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
ISR A CARGO, $-   , $-   ,-30.00,-11.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,,,,,,,,,,,,,,
PAGO, $-   , $-   ,-30.00,-11.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,,,,,,,,,,,,,,
Pago actualizado, $-   , $-   ,-30.00,-11.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
CALCULO IMPUESTO AL VALOR AGREGADO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS 16%, $-   , $-   ,12000.00,4500.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
IVA por devoluciones  descuentos y bonificaciones en gastos, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS, $-   , $-   ,12000.00,4500.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,
IVA TRASLADADO COBRADO, $-   , $-   ,1920.00,720.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
INGRESOS PAGADOS 0%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS EXCENTOS, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Otros ingresos por NC, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS 16%, $-   , $-   , $-   ,715.25, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,*Los % están sujetos a cambios en años posteriores
IVA ACREDITABLE PAGADO, $-   , $-   , $-   ,114.44, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
IVA ACREDITABLE/TRASLADADO, $-   , $-   ,1920.00,605.56, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES, $-   , $-   ,1280.00,480.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
IVA A PAGAR O A FAVOR, $-   , $-   ,640.00,126.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,0.00,,,,,,,,,,,,,
PAGO, $-   , $-   ,640.00,126.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,,,,,,,,,,,,,,
Pago actualizado, $-   , $-   ,640.00,126.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PAGO ISR + IVA, $-   , $-   ,610.00,,,, $-   , $-   , $-   , $-   , $-   , $-   ,,
´+ RETENCIONES, $-   , $-   ,1430.00,536.25, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
PAGO ISR + IVA, $-   , $-   ,2040.00,536.25, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
