CALCULO IMPUESTO SOBRE LA RENTA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS,1732.91,4248.63,1523.13,1671.58, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
OTROS INGRESOS, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS,1732.91,4248.63,1523.13,1671.58, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
DEDUCCIONES, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS GRAV,1732.91,4248.63,1523.13,1671.58, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ISR,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,*Los % están sujetos a cambios en años posteriores
ISR CAUSADO,17.00,42.00,15.00,17.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES DE ISR,21.66,53.11,19.04,20.89, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
ISR A CARGO,-5.00,-11.00,-4.00,-4.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,,,,,,,,,,,,,,
PAGO,-5.00,-11.00,-4.00,-4.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,,,,,,,,,,,,,,
Pago actualizado,-5.00,-11.00,-4.00,-4.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
CALCULO IMPUESTO AL VALOR AGREGADO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS 16%,1732.91,4248.63,1523.13,1671.58, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
IVA por devoluciones  descuentos y bonificaciones en gastos, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS,1732.91,4248.63,1523.13,1671.58, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,
IVA TRASLADADO COBRADO,277.27,679.78,243.70,267.45, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
INGRESOS PAGADOS 0%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS EXCENTOS, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Otros ingresos por NC, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS 16%, $-   , $-   , $-   ,748.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,*Los % están sujetos a cambios en años posteriores
IVA ACREDITABLE PAGADO, $-   , $-   , $-   ,119.68, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
IVA ACREDITABLE/TRASLADADO,277.27,679.78,243.70,147.77, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES,184.84,453.19,162.47,178.30, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
IVA A PAGAR O A FAVOR,92.00,227.00,81.00,-31.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,0.00,,,,,,,,,,,,,
PAGO,92.00,227.00,81.00,-31.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,,,,,,,,,,,,,,
Pago actualizado,92.00,227.00,81.00,-31.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PAGO ISR + IVA,87.00,-11.00,77.00,,,, $-   , $-   , $-   , $-   , $-   , $-   ,,
´+ RETENCIONES,206.50,506.30,181.51,199.19, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
PAGO ISR + IVA,293.50,495.30,258.51,199.19, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
