BALANCE GENERAL,,,,ESTADO RESULTADOS,,,,FLUJO DE EFECTIVO,,,,,,,,,,,,,,,,,ESTADO DE CAMBIOS EN EL CAPITAL CONTABLE,,,
RAZÓN SOCIAL,Rey Salvador,,,RAZÓN SOCIAL,Rey Salvador,,,RAZÓN SOCIAL,Rey Salvador,,,,,,,,,,,,,,,,RAZÓN SOCIAL,Rey Salvador,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AÑO,2024,,,A la fecha,26/06/2024,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
,,,,,,,,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,TOTAL ANUAL,,,,Capital social,Resultados acumulados,Total Patrimonio
 ACTIVOS,,,, INGRESOS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, SALDO DE CAJA,269871.23,239572.51,269074.00,260398.18,260398.18,260398.18,260398.18,260398.18,260398.18,260398.18,260398.18,260398.18,,-610039.79,,,,108176.20, -   ,108176.20
Activos corrientes,,,,Ventas brutas,9176.25,,,,,,,,,,,,,,,,,,,,,,,
Caja y bancos,5115.98,,,Devoluciones y rebajas, -   ,,,,,,,,,,,,,,,,,,,,Saldo del periodo inmediato anterior,,,0.00
Inversiones/ahorro,255282.20,,,Ventas netas,9176.25,,,Saldo inicial de caja,189141.85,,,,,,,,,,,,,,,,Cambios en politicas contables:,,,0.00
Cuentas por cobrar, -   ,,,,   ,,,,,,,,,,,,,,,,,,,,Correcciones de errores,,,0.00
IVA Acreditable, -   ,No se agrega por la diferencia en gastos (no hay manera de saber el subtotal),, COSTO DE VENTAS,,,,FLUJOS DE EFECTIVO OPERATIVOS,,,,,,,,,,,,,,,,,Cambios del año en el patrimonio:,,,0.00
Anticipos, -   ,,,,,,,                INGRESOS,,,,,,,,,,,,,,,,,"Aumento (disminución) de capital social ""desde reservas""",,,0.00
TOTAL ACTIVOS CORRIENTES,260398.18,,,Inventario inicial, -   ,,,Venta a público en general, -   , -   ,2500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,2500.00,,,Aportes para futuras capitalizaciones,,,0.00
,,,,Compras, -   ,,,Venta con CFDI,164314.46,24185.69,109244.74, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,297744.89,,,Prima por emisión primaria de acciones,,,0.00
Activos no corrientes,,,,Costo de los fletes entrantes, -   ,,,Ingresos no acumulables,79306.00, -   ,2203.03,340.00, -   , -   , -   , -   , -   , -   , -   , -   ,,81849.03,,,Dividendos,,,0.00
Inversiones financieras, -   ,,,Mano de obra directa,19952.00,,,Otros Cobros, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,"Transferencia de Resultados a otras cuentas patrimoniales  ""Apropiación de reserva legal o especial"".",,,0.00
Inmuebles  maquinaria y equipo, -   ,,,Gastos indirectos,16135.65,,,                 EGRESOS,,,,,,,,,,,,,,,,,Transferencia de Resultados a otras cuentas patrimoniales,,,0.00
Depreciación acumulada, -   ,,,Inventario final, -   ,,,Pago de tarjeta de crédito,-85673.65,-23000.00,-19930.03, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-128603.68,,,Realización de la Reserva por Valuación de Activos Financieros Disponibles para la venta,,,0.00
Intangibles, -   ,,,Costo de las ventas,36087.65,,,Otros gastos no deducibles,-10230.00,-23624.00,-31444.00,-8400.00, -   , -   , -   , -   , -   , -   , -   , -   ,,-73698.00,,,Realización de la Reserva por Valuación de Propiedades  planta y equipo,,,0.00
TOTAL ACTIVOS  NO CORRIENTES, -   ,,,,,,,Pago por personal necesario,-10000.00, -   ,-5500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-15500.00,,,Realización de la Reserva por Valuación de Activos Intangibles,,,0.00
,,,,Ganancia (pérdida) bruta,-26911.40,,,Transporte,-2428.51,-1864.42,-2691.36,-615.82, -   , -   , -   , -   , -   , -   , -   , -   ,,-7600.11,,,"Otros cambios (detallar) ""Ganancias (pérdidas) actuariales por planes de beneficios definidos""",,,0.00
TOTAL ACTIVOS,260398.18,,,,,,,Gastos indirectos,-57000.00,-749.00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-57749.00,,,Resultado Integral Total del Año (Ganancia o pérdida del ejercicio),,-179607.63,-179607.63
,,,, GASTOS,ND,,,Luz, -   ,-59.00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-59.00,,,,,,
